"subjectID","scanner","order","block","run","trial","onsettime","ImageLeft","ImageRight","bidIndexLeft","bidIndexRight","IsleftGo","Response","PairType","Outcome","RT","bidLeft","bidRight","FixationTime","PairType2"
"MRI_faces_102",1,2,2,1,3,9.015618,"2153.jpg","2010.jpg",12,8,0,"b",1,0,655.29,0.72,0.77,10.17195,"High_Value"
"MRI_faces_102",1,2,2,1,4,14.02176,"1013.jpg","2149.jpg",45,46,0,"b",2,0,1176.13,0.29,0.29,15.68853,"Low_Value"
"MRI_faces_102",1,2,2,1,5,17.0171,"2248.jpg","1031.jpg",13,17,0,"b",1,0,997.79,0.72,0.67,18.51746,"High_Value"
"MRI_faces_102",1,2,2,1,6,20.02186,"1031.jpg","2153.jpg",17,12,1,"y",1,0,1019.03,0.67,0.72,21.53862,"High_Value"
"MRI_faces_102",1,2,2,1,7,34.02199,"2015.jpg","1035.jpg",14,7,1,"y",1,0,1178.94,0.7,0.79,35.68905,"High_Value"
"MRI_faces_102",1,2,2,1,8,38.02213,"2149.jpg","1060.jpg",46,52,1,"y",2,0,801.78,0.29,0.24,39.32219,"Low_Value"
"MRI_faces_102",1,2,2,1,9,42.02217,"2212.jpg","2015.jpg",10,14,0,"y",1,1,1101.74,0.75,0.7,43.62182,"High_Value"
"MRI_faces_102",1,2,2,1,10,45.00562,"1052.jpg","1060.jpg",49,52,1,"b",2,1,1030.27,0.28,0.24,46.53899,"Low_Value"
"MRI_faces_102",1,2,2,1,11,48.00802,"2149.jpg","1150.jpg",46,53,1,"y",2,0,780.89,0.29,0.22,49.28948,"Low_Value"
"MRI_faces_102",1,2,2,1,12,53.00671,"1052.jpg","1013.jpg",49,45,1,"x",2,NA,999000,0.28,0.29,55.00725,"Low_Value"
"MRI_faces_102",1,2,2,1,13,56.02242,"1127.jpg","1192.jpg",51,47,1,"b",2,1,898.49,0.24,0.29,57.40772,"Low_Value"
"MRI_faces_102",1,2,2,1,14,66.00899,"1262.jpg","1035.jpg",11,7,1,"y",1,0,815.91,0.73,0.79,67.32599,"High_Value"
"MRI_faces_102",1,2,2,1,15,72.01012,"2089.jpg","2010.jpg",15,8,0,"b",1,0,715.76,0.68,0.77,73.22709,"High_Value"
"MRI_faces_102",1,2,2,1,16,75.01054,"1114.jpg","1246.jpg",6,55,1,"y",4,0,940.37,0.82,0.21,76.46092,"Sanity"
"MRI_faces_102",1,2,2,1,17,79.01122,"1262.jpg","2212.jpg",11,10,1,"y",1,0,690.69,0.73,0.75,80.20612,"High_Value"
"MRI_faces_102",1,2,2,1,18,84.02272,"2181.jpg","1035.jpg",9,7,1,"b",1,1,659.19,0.76,0.79,85.17916,"High_Value"
"MRI_faces_102",1,2,2,1,19,91.01333,"1192.jpg","2149.jpg",47,46,0,"y",2,1,678.58,0.29,0.29,92.19701,"Low_Value"
"MRI_faces_102",1,2,2,1,20,96.01418,"2045.jpg","1052.jpg",50,49,0,"y",2,1,863.72,0.24,0.28,97.38121,"Low_Value"
"MRI_faces_102",1,2,2,1,21,99.01473,"2212.jpg","1216.jpg",10,16,0,"y",1,1,1034.18,0.75,0.68,100.5484,"High_Value"
"MRI_faces_102",1,2,2,1,22,105.0159,"1191.jpg","2015.jpg",18,14,0,"y",1,1,834.04,0.66,0.7,106.3495,"High_Value"
"MRI_faces_102",1,2,2,1,23,109.0165,"1191.jpg","1031.jpg",18,17,0,"b",1,0,1004.35,0.66,0.67,110.5233,"High_Value"
"MRI_faces_102",1,2,2,1,24,121.0186,"1130.jpg","2149.jpg",44,46,0,"b",2,0,834.35,0.35,0.29,122.3523,"Low_Value"
"MRI_faces_102",1,2,2,1,25,124.0233,"1031.jpg","2212.jpg",17,10,1,"y",1,0,942.61,0.67,0.75,125.4568,"High_Value"
"MRI_faces_102",1,2,2,1,26,127.0197,"1130.jpg","1019.jpg",44,43,0,"b",2,0,887.2,0.35,0.35,128.4068,"Low_Value"
"MRI_faces_102",1,2,2,1,27,131.0203,"1130.jpg","1027.jpg",44,48,0,"b",2,0,895.58,0.35,0.28,132.4068,"Low_Value"
